Rank(2018),Airports (Large hubs),IATACode,Major city served,State,2018[3],2017[4],2016[5],2015[6],2014[7],2013[8],2012[9],2011[10],2010[11],2009[12]
1,Hartsfield–Jackson Atlanta International Airport,ATL,Atlanta,GA,"51,866,464","50,251,964","50,501,858","49,340,732","46,604,273","45,308,407","45,798,809","44,414,121","43,130,585","42,280,868"
2,Los Angeles International Airport,LAX,Los Angeles,CA,"42,626,783","41,232,432","39,636,042","36,351,226","34,314,197","32,425,892","31,326,268","30,528,737","28,857,755","27,439,897"
3,O'Hare International Airport,ORD,Chicago,IL,"39,874,879","38,593,028","37,589,899","36,305,668","33,686,811","32,317,835","32,171,743","31,892,301","32,171,831","31,135,732"
4,Dallas/Fort Worth International Airport,DFW,Dallas,TX,"32,800,721","31,816,933","31,283,579","31,589,832","30,766,940","29,038,128","28,022,877","27,518,358","27,100,656","26,663,984"
5,Denver International Airport,DEN,Denver,CO,"31,363,573","29,809,097","28,267,394","26,280,043","26,000,591","25,496,885","25,799,832","25,667,499","25,241,962","24,013,669"
6,John F. Kennedy International Airport,JFK,New York,NY,"30,541,459","29,533,154","29,239,151","27,782,369","26,244,928","25,036,358","24,520,943","23,664,830","22,934,047","22,710,272"
7,San Francisco International Airport,SFO,San Francisco,CA,"27,794,154","26,900,048","25,707,101","24,190,549","22,756,008","21,704,626","21,284,224","20,038,679","19,359,003","18,467,908"
8,Seattle–Tacoma International Airport,SEA,Seattle,WA,"24,894,338","22,639,124","21,887,110","21,231,781","18,781,489","17,450,425","16,625,787","16,425,732","15,406,243","15,273,092"
9,McCarran International Airport,LAS,Las Vegas,NV,"23,655,285","23,364,393","22,833,267","21,824,231","20,551,016","19,946,179","19,941,173","19,854,759","18,996,738","19,445,952"
10,Orlando International Airport,MCO,Orlando,FL,"23,184,634","21,565,448","20,283,541","18,759,938","17,278,608","16,884,524","17,159,425","17,250,415","17,017,491","16,371,016"
11,Newark Liberty International Airport,EWR,Newark/New York,NJ,"22,798,354","21,571,198","19,923,009","18,684,818","17,680,826","17,546,506","17,035,098","16,814,092","16,571,754","16,659,441"
12,Charlotte Douglas International Airport,CLT,Charlotte,NC,"22,283,574","22,011,251","21,511,880","21,913,166","21,542,277","21,346,601","20,032,426","19,022,535","18,629,181","18,165,476"
13,Phoenix Sky Harbor International Airport,PHX,Phoenix,AZ,"21,623,842","21,185,458","20,896,265","21,351,445","20,344,867","19,525,109","19,556,189","19,750,306","18,907,171","18,559,647"
14,George Bush Intercontinental Airport,IAH,Houston,TX,"21,157,948","19,603,731","20,062,072","20,595,874","19,772,054","18,952,840","19,038,958","19,306,660","19,528,631","19,290,239"
15,Miami International Airport,MIA,Miami,FL,"21,025,210","20,709,225","20,875,813","20,986,341","19,468,523","19,420,089","18,987,488","18,342,158","17,017,654","16,187,768"
16,Logan International Airport,BOS,Boston,MA,"20,010,262","18,759,742","17,749,202","16,290,362","15,425,869","14,810,153","14,293,675","14,171,476","13,561,814","12,566,797"
17,Minneapolis–Saint Paul International Airport,MSP,Minneapolis,MN,"18,363,493","18,409,704","18,123,844","17,634,252","16,972,678","16,280,835","15,943,751","15,895,653","15,512,487","15,551,206"
18,Fort Lauderdale–Hollywood International Airport,FLL,Fort Lauderdale,FL,"17,613,957","15,817,043","14,263,270","13,061,607","11,987,607","11,538,140","11,445,101","11,332,466","10,829,810","10,258,118"
19,Detroit Metropolitan Airport,DTW,Detroit,MI,"17,437,716","17,036,092","16,826,287","16,255,520","15,775,941","15,683,523","15,599,877","15,716,865","15,643,890","15,211,402"
20,Philadelphia International Airport,PHL,Philadelphia,PA,"15,285,948","14,271,243","14,564,419","15,101,318","14,747,112","14,727,945","14,587,631","14,883,180","14,951,254","15,002,961"
21,LaGuardia Airport,LGA,New York,NY,"15,059,648","14,614,802","14,706,123","14,762,593","13,415,797","13,372,269","12,818,717","11,989,227","12,001,501","11,084,300"
22,Baltimore–Washington International Airport,BWI,"Baltimore/Washington, D.C.",MD,"13,373,773","12,976,554","12,340,972","11,738,828","11,022,200","11,132,731","11,183,965","11,067,317","10,848,633","10,338,950"
23,Salt Lake City International Airport,SLC,Salt Lake City,UT,"12,228,677","11,615,954","11,143,738","10,634,519","10,139,065","9,668,048","9,579,836","9,701,756","9,910,493","9,903,821"
24,San Diego International Airport,SAN,San Diego,CA,"12,176,303","11,139,933","10,340,164","9,985,739","9,333,152","8,878,772","8,686,592","8,465,683","8,430,509","8,453,854"
25,Dulles International Airport,IAD,"Washington, D.C.",VA,"11,628,309","11,024,306","10,596,942","10,363,918","10,415,948","10,570,993","10,785,683","11,043,829","11,276,481","11,132,098"
26,Reagan National Airport,DCA,"Washington, D.C.",VA,"11,367,176","11,506,310","11,470,854","11,242,375","10,057,794","9,838,034","9,462,206","9,053,004","8,736,804","8,490,288"
27,Midway International Airport,MDW,Chicago,IL,"10,685,565","10,912,074","11,044,353","11,044,387","10,318,311","9,915,646","9,431,796","9,134,576","8,518,957","8,253,620"
28,Tampa International Airport,TPA,Tampa,FL,"10,369,622","9,548,580","9,194,994","9,150,414","8,531,561","8,267,752","8,216,153","8,174,194","8,137,222","8,263,294"
29,Portland International Airport,PDX,Portland,OR,"9,805,535","9,435,473","9,071,154","8,340,234","7,878,760","7,452,603","7,142,620","6,808,486","6,582,227","6,430,119"
30,Daniel K. Inouye International Airport,HNL,Honolulu,HI,"9,578,505","9,743,989","9,656,340","9,656,340","9,463,000","9,466,995","9,210,270","8,643,494","8,740,077","8,739,389"
